id,release_date,movie,production_budget,domestic_gross,worldwide_gross,net_profit,ROI,release_year,clean_movie,clean_title_x,start_year_x,genres,primary_genre,clean_title_y,start_year_y,averagerating,numvotes
24,2010-11-24,Burlesque,55000000.0,39440655.0,90552675.0,35552675.0,0.6464122727272728,2010,burlesque,burlesque,2010.0,Drama,Drama,burlesque,2010,6.4,71021
27,2012-07-27,The Watch,55000000.0,34353000.0,67130045.0,12130045.0,0.22054627272727273,2012,the watch,the watch,2012.0,"Action,Comedy,Horror",Action,the watch,2012,5.7,115757
32,2018-02-23,Annihilation,55000000.0,32732301.0,43070915.0,-11929085.0,-0.21689245454545455,2018,annihilation,annihilation,2018.0,"Adventure,Drama,Horror",Adventure,annihilation,2018,6.9,228664
33,2015-10-16,Crimson Peak,55000000.0,31090320.0,74966854.0,19966854.0,0.3630337090909091,2015,crimson peak,crimson peak,2015.0,"Drama,Fantasy,Horror",Drama,crimson peak,2015,6.5,119287
34,2012-04-27,The Pirates! Band of Misfits,55000000.0,31051126.0,136143605.0,81143605.0,1.4753382727272728,2012,the pirates band of misfits,the pirates band of misfits,2012.0,"Adventure,Animation,Comedy",Adventure,the pirates band of misfits,2012,6.7,41958
59,2015-09-18,Black Mass,53000000.0,62575678.0,98837872.0,45837872.0,0.8648655094339622,2015,black mass,black mass,2015.0,"Biography,Crime,Drama",Biography,black mass,2015,6.9,155847
66,2012-12-19,Zero Dark Thirty,52500000.0,95720716.0,134612435.0,82112435.0,1.564046380952381,2012,zero dark thirty,zero dark thirty,2012.0,"Drama,Thriller",Drama,zero dark thirty,2012,7.4,251072
70,2010-02-12,Valentine's Day,52000000.0,110485654.0,217569328.0,165569328.0,3.1840255384615386,2010,valentine's day,valentine's day,2010.0,"Comedy,Romance",Comedy,valentine's day,2010,5.7,107171
72,2011-08-05,The Change-Up,52000000.0,37243418.0,75997067.0,23997067.0,0.4614820576923077,2011,the change-up,the change-up,2011.0,"Comedy,Fantasy",Comedy,the change-up,2011,6.3,155374
75,2010-02-05,From Paris With Love,52000000.0,24077427.0,53139168.0,1139168.0,0.02190707692307692,2010,from paris with love,from paris with love,2010.0,"Action,Crime,Thriller",Action,from paris with love,2010,6.5,107079
79,2018-08-17,Alpha,51000000.0,35851379.0,99624873.0,48624873.0,0.9534288823529412,2018,alpha,alpha,2018.0,"Adventure,Drama,Family",Adventure,alpha,2018,6.7,41882
81,2011-03-04,The Adjustment Bureau,50200000.0,62495645.0,126931325.0,76731325.0,1.5285124501992031,2011,the adjustment bureau,the adjustment bureau,2011.0,"Romance,Sci-Fi,Thriller",Romance,the adjustment bureau,2011,7.1,227616
84,2012-06-29,Ted,50000000.0,218665740.0,556016627.0,506016627.0,10.12033254,2012,ted,ted,2012.0,"Comedy,Fantasy",Comedy,ted,2012,6.9,538367
85,2014-06-13,22 Jump Street,50000000.0,191719337.0,331333876.0,281333876.0,5.62667752,2014,22 jump street,22 jump street,2014.0,"Action,Comedy,Crime",Action,22 jump street,2014,7.0,319504
91,2016-06-17,Central Intelligence,50000000.0,127440871.0,217194805.0,167194805.0,3.3438961,2016,central intelligence,central intelligence,2016.0,"Action,Comedy,Crime",Action,central intelligence,2016,6.3,138872
92,2013-12-18,Anchorman 2: The Legend Continues,50000000.0,127352707.0,172185754.0,122185754.0,2.44371508,2013,anchorman 2 the legend continues,anchorman 2 the legend continues,2013.0,Comedy,Comedy,anchorman 2 the legend continues,2013,6.3,156116
93,2011-06-10,Super 8,50000000.0,127004179.0,257972745.0,207972745.0,4.1594549,2011,super 8,super 8,2011.0,"Mystery,Sci-Fi,Thriller",Mystery,super 8,2011,7.0,320575
96,2018-11-21,Creed II,50000000.0,115715889.0,213591522.0,163591522.0,3.27183044,2018,creed ii,creed ii,2018.0,"Drama,Sport",Drama,creed ii,2018,7.2,72503
97,2018-02-09,Peter Rabbit,50000000.0,115234093.0,347136477.0,297136477.0,5.94272954,2018,peter rabbit,peter rabbit,2018.0,"Adventure,Animation,Comedy",Adventure,peter rabbit,2018,6.6,27908
100,2018-12-14,The Mule,50000000.0,103804407.0,170857676.0,120857676.0,2.41715352,2018,the mule,the mule,2018.0,"Crime,Drama,Thriller",Crime,the mule,2018,7.1,58955
2,2014-02-28,Non-Stop,50000000.0,91742160.0,222383055.0,172383055.0,3.4476611,2014,non-stop,non-stop,2014.0,"Action,Mystery,Thriller",Action,non-stop,2014,7.0,234717
7,2017-07-28,The Emoji Movie,50000000.0,86089513.0,216562312.0,166562312.0,3.33124624,2017,the emoji movie,the emoji movie,2017.0,"Adventure,Animation,Comedy",Adventure,the emoji movie,2017,3.2,47294
9,2017-12-22,The Post,50000000.0,81903458.0,179748880.0,129748880.0,2.5949776,2017,the post,the post,2017.0,"Biography,Drama,History",Biography,the post,2017,7.2,108017
14,2011-12-23,We Bought a Zoo,50000000.0,75624550.0,118729073.0,68729073.0,1.37458146,2011,we bought a zoo,we bought a zoo,2011.0,"Comedy,Drama,Family",Comedy,we bought a zoo,2011,7.1,126849
15,2011-09-23,Moneyball,50000000.0,75605492.0,111300835.0,61300835.0,1.2260167,2011,moneyball,moneyball,2011.0,"Biography,Drama,Sport",Biography,moneyball,2011,7.6,326657
26,2012-04-06,American Reunion,50000000.0,56758835.0,236799211.0,186799211.0,3.73598422,2012,american reunion,american reunion,2012.0,Comedy,Comedy,american reunion,2012,6.7,192250
27,2013-01-25,Hansel & Gretel: Witch Hunters,50000000.0,55703475.0,214949716.0,164949716.0,3.29899432,2013,hansel & gretel witch hunters,hansel & gretel witch hunters,2013.0,"Action,Fantasy,Horror",Action,hansel & gretel witch hunters,2013,6.1,183387
28,2011-02-18,I am Number Four,50000000.0,55100437.0,146195159.0,96195159.0,1.92390318,2011,i am number four,i am number four,2011.0,"Action,Adventure,Sci-Fi",Action,i am number four,2011,6.1,217762
32,2017-09-29,American Made,50000000.0,51342000.0,135569212.0,85569212.0,1.71138424,2017,american made,american made,2017.0,"Action,Biography,Comedy",Action,american made,2017,7.2,131043
35,2014-10-17,The Book of Life,50000000.0,50151543.0,97651543.0,47651543.0,0.95303086,2014,the book of life,the book of life,2014.0,"Adventure,Animation,Comedy",Adventure,the book of life,2014,7.3,59486
40,2014-08-08,Into the Storm,50000000.0,47602194.0,150429371.0,100429371.0,2.00858742,2014,into the storm,into the storm,2014.0,"Action,Adventure,Drama",Action,into the storm,2014,5.8,60894
41,2014-10-10,The Judge,50000000.0,47119388.0,76119388.0,26119388.0,0.52238776,2014,the judge,the judge,2014.0,"Crime,Drama",Crime,the judge,2014,7.4,162952
45,2016-08-19,War Dogs,50000000.0,43034523.0,86234503.0,36234503.0,0.72469006,2016,war dogs,war dogs,2016.0,"Comedy,Crime,Drama",Comedy,war dogs,2016,7.1,154029
56,2016-05-20,The Nice Guys,50000000.0,36261763.0,59596747.0,9596747.0,0.19193494,2016,the nice guys,the nice guys,2016.0,"Action,Comedy,Crime",Action,the nice guys,2016,7.4,240337
59,2010-06-04,Marmaduke,50000000.0,33644788.0,89895930.0,39895930.0,0.7979186,2010,marmaduke,marmaduke,2010.0,"Comedy,Family",Comedy,marmaduke,2010,4.2,13283
