id,release_date,movie,production_budget,domestic_gross_x,worldwide_gross,net_profit,ROI,release_year,clean_movie,movie_id,primary_title,original_title,start_year,runtime_minutes,genres,averagerating,numvotes,clean_title_x,primary_genre,title,studio,domestic_gross_y,foreign_gross,year,total_gross,clean_title_y
11,1999-03-12,The Deep End of the Ocean,40000000.0,13508635.0,13508635.0,-26491365.0,-0.662284125,1999,the deep end of the ocean,,,,,,,,,,Unknown,,,,,,,
12,2004-11-05,Alfie,40000000.0,13395939.0,35195939.0,-4804061.0,-0.120101525,2004,alfie,,,,,,,,,,Unknown,,,,,,,
13,2002-08-30,FearDotCom,40000000.0,13208023.0,13208023.0,-26791977.0,-0.669799425,2002,feardotcom,,,,,,,,,,Unknown,,,,,,,
14,2008-11-07,Soul Men,40000000.0,12082391.0,12345883.0,-27654117.0,-0.691352925,2008,soul men,,,,,,,,,,Unknown,,,,,,,
15,2015-03-20,The Gunman,40000000.0,10664749.0,18594227.0,-21405773.0,-0.535144325,2015,the gunman,tt2515034,The Gunman,The Gunman,2015.0,115.0,"Action,Crime,Drama",5.8,36053.0,the gunman,Action,The Gunman,ORF,10700000.0,13500000.0,2015.0,24200000.0,the gunman
16,1999-08-20,Universal Soldier II: The Return,40000000.0,10447421.0,10717421.0,-29282579.0,-0.732064475,1999,universal soldier ii the return,,,,,,,,,,Unknown,,,,,,,
17,2009-09-25,Pandorum,40000000.0,10330853.0,17033431.0,-22966569.0,-0.574164225,2009,pandorum,,,,,,,,,,Unknown,,,,,,,
18,2003-09-26,Duplex,40000000.0,9652000.0,10070651.0,-29929349.0,-0.748233725,2003,duplex,,,,,,,,,,Unknown,,,,,,,
19,2013-08-16,Paranoia,40000000.0,7388654.0,16340767.0,-23659233.0,-0.591480825,2013,paranoia,tt1413495,Paranoia,Paranoia,2013.0,106.0,"Drama,Thriller",5.7,33149.0,paranoia,Drama,Paranoia,Rela.,7400000.0,6400000.0,2013.0,13800000.0,paranoia
20,1980-08-01,Raise the Titanic,40000000.0,7000000.0,7000000.0,-33000000.0,-0.825,1980,raise the titanic,,,,,,,,,,Unknown,,,,,,,
21,2015-07-10,Baahubali: The Beginning,40000000.0,6738000.0,26736665.0,-13263335.0,-0.331583375,2015,baahubali the beginning,tt2631186,Baahubali: The Beginning,Bahubali: The Beginning,2015.0,159.0,"Action,Drama",8.1,93243.0,baahubali the beginning,Action,Baahubali: The Beginning,BSC,6700000.0,,2015.0,,baahubali the beginning
22,2018-03-09,The Hurricane Heist,40000000.0,6115824.0,30963684.0,-9036316.0,-0.2259079,2018,the hurricane heist,tt5360952,The Hurricane Heist,The Hurricane Heist,2018.0,103.0,"Action,Adventure,Crime",5.1,15326.0,the hurricane heist,Action,The Hurricane Heist,ENTMP,6100000.0,,2018.0,,the hurricane heist
23,2002-01-04,Impostor,40000000.0,6114237.0,7974607.0,-32025393.0,-0.800634825,2002,impostor,,,,,,,,,,Unknown,,,,,,,
24,2015-11-25,Victor Frankenstein,40000000.0,5775076.0,31124367.0,-8875633.0,-0.221890825,2015,victor frankenstein,tt1976009,Victor Frankenstein,Victor Frankenstein,2015.0,110.0,"Drama,Horror,Sci-Fi",6.0,47492.0,victor frankenstein,Drama,Victor Frankenstein,Fox,5800000.0,28500000.0,2015.0,34300000.0,victor frankenstein
